,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
0,60019542,45079281,30932627,32565101,19148429,23609144,38091156,50597668,34565468,42695018,0.4898913714963263
1,51628072,21429109,23242370,55841517,59929228,29729349,57353656,21579522,42902462,20107199,0.49628058488269833
2,22234976,36437063,30036549,46176825,22064966,43633681,55029161,20964081,21555233,47656132,0.5375049439385986
3,22141,51059196,19291838,31300807,23983338,24986783,58919240,51961997,43466374,21929916,0.48038168723668245
4,22045294,52783749,45069328,51652337,34246344,20555194,43199588,63789816,23849305,37512574,0.5074671196674644
5,31462768,46859551,24323321,44334344,51714060,35583035,28452617,21390011,27273897,44399347,0.51234168524869
6,29540997,30253277,20660758,64966026,21400474,41732264,31668559,24687977,45735002,46641208,0.45532836069360777
7,20804584,58861983,38200527,21814305,21711141,35260854,44494586,25268134,39874254,22550063,0.5013130496256472
8,52219144,47444113,36463325,35330751,22557193,24758622,29255358,43944945,46310812,43960471,0.4715057122047193
9,22166122,37779230,38872942,36565282,30143713,50588844,60203620,52999567,19853552,24973129,0.5179593739816156
10,38675443,39810131,26430518,37531834,26401561,43095091,37849010,50794731,38713859,36969364,0.4670915187505065
11,24286439,24420417,29628542,71101909,43263800,21948814,37284791,45363591,282110,28461087,0.5180054957564455
12,31205093,21428255,61455157,21167527,37835958,29175220,64449253,29029316,24988079,47647276,0.46335278440289435
13,40592527,29371814,43165117,25640233,28397498,30419187,40489229,34473028,60929896,22786258,0.5008000627628616
14,43422595,50868075,45024591,50226287,22844103,48423522,45713439,22003993,50113384,54883351,0.5179107588066062
15,35160598,42811230,53114170,23670956,25001706,38152015,58879887,51025757,46372558,58411221,0.4905314263891797
16,24284828,39750976,43719534,22915429,20540322,34930548,40541904,32643345,57383101,48314421,0.46483538774342037
17,21267036,22234443,36838047,64181125,21867119,29568155,59362002,31311355,21533314,40028721,0.5406719823053269
18,43268066,19332447,35447832,56904764,48686451,23385939,36050417,36442824,20932850,20626687,0.5112651334415621
19,39556914,36782473,23214375,36939877,25736184,26708030,52751696,51679880,3976,19125609,0.4830666015478738
20,44603283,20225002,35010370,23227966,51045620,41647754,39791909,19637132,42072039,41859121,0.5139506828858128
21,20104638,21314614,27952256,31123606,54998068,47019530,19269982,36130642,19441607,47559831,0.4855729082305022
22,29549769,23713383,30964980,48400699,21011938,48573409,55855314,19994968,19321847,39740896,0.5349099981771466
23,20666778,25301860,42824252,45183436,23868604,59745279,21457432,54808765,24227677,41325868,0.4971155598879257
24,209519,31054295,40344928,30073927,26189623,45825905,46224868,40430865,25198968,65330,0.5057250088018473
25,25619507,45533570,65090634,527271,35052630,24952770,37800603,30013428,44097425,26172235,0.47661428312676923
26,60189383,31598760,62779124,45093249,25264411,28686638,20476249,26396545,39589255,44105153,0.5351931775732727
27,53444510,29503167,48934027,43946026,59211681,25807992,19433500,47772052,30007191,23448338,0.5187583586170923
28,24949704,21451618,24480747,45324694,28411692,53438180,19556507,34981573,44363059,31939631,0.5275723170467488
29,25934228,34889253,44715833,64820774,48377892,29564361,49621273,30901275,31036337,37532240,0.47202826325751784
30,48593205,26782457,21067866,36814107,37268427,26563804,49135207,46530971,43443609,64490368,0.49768719658132543
31,35249274,19269643,41249257,39032984,27474572,44612827,21935758,21488124,20915983,54978248,0.49692834419665544
32,56681879,21298820,43148129,20636680,22275020,21356243,35223287,51388629,25396868,45025550,0.521614445139952
33,39201310,22642761,53619821,19088902,27079987,22768745,24416980,24874422,45414375,38673516,0.4646304677653838
34,30466601,45120850,40785520,35680025,26234343,22822447,45052254,34720399,55798980,25850543,0.4575554970760982
35,48665289,64922864,38254517,58481546,31588720,28722413,20730430,41323997,26126848,35083370,0.5123204796229578
36,39762512,29359441,21232969,20049154,38694144,35030594,44785969,30365690,55385801,47623324,0.5018659739445268
37,32835732,21144316,20824458,32024693,46296594,25253212,34971491,47782426,40541884,50668960,0.5479421893222576
38,43421739,62109363,38234080,20067375,21909667,25005774,19808340,56421494,63969687,28619410,0.47666160923929
39,20953499,49201657,47471138,22214634,42858693,488282,34736320,47095455,37034236,59770337,0.5460654829249464
40,27674381,34860429,58640878,34791960,30472095,38620538,53485598,20786721,27745375,46320288,0.47525570796663635
41,19859715,40850596,33749734,34735094,23412581,28651778,43719416,35543485,19855117,47602015,0.4573993677752347
42,39563130,47680131,26107960,21717205,249182,31504788,36785777,44444957,24689259,47539255,0.5003906705265851
43,20831495,40494061,48945486,28702178,39142451,27029782,50469193,26168426,47684039,59051125,0.5097842382212943
44,57483703,34884862,44435026,38783615,19918385,86625,41797377,52730876,29450651,48411810,0.5018372669134997
45,47679628,58429668,25729608,40958260,31044281,35840298,50510071,19515425,21231164,22874436,0.4828845830732307
46,44712199,24862802,20111356,45574489,42240510,20230191,39107822,21713427,24426255,19421846,0.526208303367736
47,25427048,20040776,23246572,19173410,29651570,20614611,51460745,44393390,40955275,23975474,0.4762805214642969
48,54939675,59002339,23531446,26494029,19847036,24872274,21399335,32693505,38604322,22826419,0.5305888301446903
49,19172721,22674962,28334727,38817783,26678064,437530,27331086,31119683,28466931,25008629,0.5357780945413678
50,21380700,43788434,51752495,40965288,29899184,23651708,29831937,37827831,22386881,34463297,0.4591048456489516
51,47123654,19207322,34716541,30303426,19912503,20151373,30682982,34656397,19767051,24744424,0.4585395500811686
52,38989352,47793310,31598465,38871885,31501233,35402642,47501279,19919125,44542533,258137,0.5414678873103016
53,55528059,56470961,32036759,24556659,25403492,23046900,31907577,19695900,38810803,264024,0.5016625282094306
54,20391290,28939877,39043844,29463358,22791081,24909821,36900671,35593886,31329989,54973361,0.5039290918628994
55,28959846,50185399,29239442,40261199,44545513,34551952,43880998,60646756,41233872,51760689,0.4567575911153039
56,31593403,39937050,28977367,41784022,30524032,35571192,22901299,55380130,47600386,26108968,0.5014328710161219
57,23202553,31915895,25906367,24978803,22092266,21867024,21552175,20575617,40387562,25134907,0.520373481144088
58,40940969,359375,41707873,42193392,26831186,31311825,48462877,20314356,34853719,30740331,0.5000262111269016
59,30624502,20209362,60700895,25589641,28684293,45440716,34249683,33381302,29290902,46350482,0.5147613106776341
60,28882126,21109003,42798997,45675287,23737394,37934895,26219364,28835141,35900796,46112995,0.5088571861189084
61,61819008,24983636,30645024,20912085,52775769,53296492,20180839,439324,32670012,51002456,0.5218200011807747
62,29789684,31602104,19315845,42882468,32433935,21717693,51058789,20514303,21872789,25191680,0.4622654556819645
63,46662058,37545473,36347728,22240820,28664216,59080166,36395246,50051347,26709013,64863435,0.45401248413569517
64,58991429,53875089,32589037,35769221,20899922,51860563,42695669,36377984,37231059,33410694,0.53272330815509
65,30042040,23155987,29160852,61848756,36792766,39288038,20078965,26678835,379670,46319721,0.5235164842087635
66,23708402,43843377,24150929,26064833,38334958,35703467,24950459,32857223,37248224,20978725,0.4879427232811871
